"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"240715",,"Roberval","4","2",8056.00,3980.00,3762.00,8204.00,8360.00,3906.00,3719.00,"5.3584","1","0","0","24",,
"240728",,"Rouyn-Noranda","1","2",23186.00,12414.00,11534.00,23504.00,23569.00,12274.00,11396.00,"22.1833","1","0","0","24",,"485"
"240729",,"Roxton Falls","4","2",1042.00,521.00,498.00,1003.00,1046.00,505.00,487.00,"2.2778","1","0","0","24",,
"240746",,"Senneterre","4","2",2212.00,1211.00,1134.00,2239.00,2239.00,1135.00,1078.00,"3.068","0","0","0","24",,
"240748",,"Sept-Îles","1","2",21352.00,10818.00,9672.00,22218.00,22218.00,10613.00,9738.00,"13.2456","0","0","0","24",,"412"
"240750",,"Shawinigan","1","3",38930.00,21798.00,20127.00,38211.00,38695.00,21437.00,19639.00,"31.7695","1","0","0","24",,"444"
"240752",,"Shawville","4","2",1329.00,624.00,578.00,1203.00,1203.00,554.00,517.00,"1.8893","0","0","0","24",,
"240758",,"Sherbrooke","1","4",151157.00,77092.00,72074.00,139565.00,140300.00,71870.00,65508.00,"102.6081","1","0","0","24",,"433"
"240770",,"Sorel","1","3",36650.00,18639.00,17887.00,36088.00,36365.00,18269.00,17340.00,"30.6063","1","0","0","24",,"454"
"240800",,"Saint-Agapit","4","2",3168.00,1399.00,1359.00,2906.00,2977.00,1297.00,1260.00,"2.2563","1","0","0","24",,
"240801",,"Saint-Alexis-des-Monts","4","2",1503.00,868.00,787.00,1546.00,1546.00,852.00,766.00,"3.3683","0","0","0","24",,
