"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","POPCTRRAuid","XPRuid","CMAuid"
"240382",,"Huntingdon","4","2",2673,1336,1263,2525,2553,1209,1142,"2.5126","1","0","0","24","0382",,
"240396",,"Joliette","1","3",49246,24181,23066,45508,46277,21977,21126,"39.0304","1","0","0","24","0396",,"456"
"240423",,"L'Assomption","6","2",16443,6837,6722,15906,16024,6526,6399,"11.6313","1","0","0","24","0423",,"462"
"240424",,"L'Épiphanie","2","2",7607,3152,3073,7225,7385,2990,2887,"10.102","1","0","0","24","0424",,"462"
"240430",,"La Malbaie","4","2",3534,1990,1725,3520,3520,2052,1759,"3.9699","0","0","0","24","0430",,
"240432",,"La Pocatière","4","2",3921,2095,1884,3928,3954,2035,1813,"5.2208","1","0","0","24","0432",,
"240434",,"La Sarre","4","2",5629,2891,2715,4570,5547,2862,2659,"5.8957","1","0","0","24","0434",,
"240435",,"La Tuque","4","2",7464,4041,3742,7751,7571,4057,3728,"6.3306","1","0","0","24","0435",,
"240437",,"Labelle","4","2",1244,637,597,1136,1179,622,543,"2.7747","1","0","0","24","0437",,
"240442",,"Lac-Etchemin","4","2",1769,806,729,1782,1782,1007,817,"1.6533","0","0","0","24","0442",,
"240443",,"Lac-Mégantic","4","2",5808,3144,2942,5647,5664,2857,2685,"9.3213","1","0","0","24","0443",,
"240444",,"Lachute","1","2",11221,5477,5250,10082,10565,5251,4956,"9.5923","1","0","0","24","0444",,"468"
"240445",,"Lacolle","4","2",1729,798,767,1288,1601,712,689,"3.4109","1","0","0","24","0445",,
"240458",,"Laurentides","6","2",15768,6224,6032,12710,13023,5173,4990,"12.7765","1","0","0","24","0458",,"462"
"240460",,"Lavaltrie","6","2",11301,4683,4583,10767,10767,4363,4241,"7.0294","0","0","0","24","0460",,"462"
"240464",,"Lebel-sur-Quévillon","4","2",1931,1071,864,2015,2015,1061,862,"2.3308","0","0","0","24","0464",,
"240473",,"Linière","4","2",1400,632,614,1385,1385,625,614,"1.6055","0","0","0","24","0473",,
"240485",,"Louiseville","4","2",5577,2983,2829,5396,5416,2858,2725,"3.9995","1","0","0","24","0485",,
"240488",,"Luceville","4","2",1118,519,499,1112,1143,523,494,"1.3276","1","0","0","24","0488",,
"240492",,"Macamic","4","2",1352,625,605,1307,1307,611,570,"2.0001","0","0","0","24","0492",,
"240495",,"Magog","6","2",22222,11572,10774,20830,21001,10995,9931,"19.5692","1","0","0","24","0495",,"433"
"240498",,"Malartic","4","2",2996,1464,1332,2972,2972,1432,1311,"1.6844","0","0","0","24","0498",,
"240500",,"Maniwaki","4","2",4094,2302,2055,3778,3891,2076,1929,"6.0477","1","0","0","24","0500",,
"240505",,"Marieville","4","2",10015,4237,4153,8891,9253,3910,3804,"6.7408","1","0","0","24","0505",,
"240514",,"Matagami","4","2",1340,695,584,1396,1396,683,591,"1.7256","0","0","0","24","0514",,
"240515",,"Matane","1","2",10371,5756,5416,10787,10787,5679,5321,"10.1609","0","0","0","24","0515",,"403"
"240540",,"Mont-Joli","4","2",5730,2826,2717,5604,5660,2761,2620,"7.9558","1","0","0","24","0540",,
"240541",,"Mont-Laurier","4","2",7634,4092,3887,7644,7841,3868,3703,"10.4033","1","0","0","24","0541",,
"240546",,"Montmagny","4","2",8881,4766,4528,9041,9041,4523,4335,"6.7346","0","0","0","24","0546",,
"240547",,"Montréal","1","4",3675219,1667662,1581599,3519595,3528651,1584409,1496841,"1382.4663","1","0","0","24","0547",,"462"
"240564",,"Notre-Dame-du-Bon-Conseil","2","2",1149,492,478,1018,1018,433,418,"1.3873","0","0","0","24","0564",,"447"
"240565",,"Notre-Dame-du-Lac","4","2",1207,667,597,1184,1184,656,585,"2.5963","0","0","0","24","0565",,
"240570",,"Napierville","4","2",4740,2047,1927,4708,4708,1952,1918,"5.7995","0","0","0","24","0570",,
"240580",,"New Richmond","4","2",1886,984,943,1901,1901,944,898,"4.0368","0","0","0","24","0580",,
"240587",,"Nicolet","4","2",6083,2704,2593,5669,5669,2514,2392,"6.0315","0","0","0","24","0587",,
"240591",,"Normandin","4","2",1880,918,872,1910,1910,911,879,"1.9281","0","0","0","24","0591",,
"240611",,"Ormstown","4","2",1785,832,798,1730,1735,814,766,"2.06","1","0","0","24","0611",,
"240616","2021S0511240616","Ottawa - Gatineau","1","4",271569,124207,117684,253861,256874,117025,109964,"192.3131","1","0","0","24","0616","35","505"
"240623",,"Papineauville","4","2",1126,611,557,1105,1105,608,532,"1.5849","0","0","0","24","0623",,
"240644",,"Pierreville","4","2",1863,1010,945,1119,1842,991,906,"2.9165","1","0","0","24","0644",,
"240651",,"Plessisville","4","2",7028,3720,3418,7195,7228,3481,3336,"5.8677","1","0","0","24","0651",,
"240653",,"Pont-Rouge","4","2",6579,2803,2730,6239,6262,2588,2511,"6.6701","1","0","0","24","0653",,
"240668",,"Port-Cartier","4","2",5400,2687,2440,5609,5609,2677,2461,"4.8835","0","0","0","24","0668",,
"240670",,"Portneuf","4","2",2107,1125,1061,2004,2004,1063,992,"3.1127","0","0","0","24","0670",,
"240677",,"Price","4","2",1640,755,722,1679,1679,749,735,"1.8921","0","0","0","24","0677",,
"240682",,"Princeville","4","2",4396,2096,2020,4384,4448,2043,1972,"3.9715","1","0","0","24","0682",,
"240685",,"Québec","1","4",733156,365801,345423,705103,708280,342588,325792,"442.8488","1","0","0","24","0685",,"421"
"240692",,"Rawdon","4","2",5680,2864,2700,5188,5289,2525,2359,"7.6787","1","0","0","24","0692",,
"240705",,"Richmond","4","2",3079,1634,1528,3046,3046,1596,1493,"5.3733","0","0","0","24","0705",,
"240707",,"Rigaud","4","2",3038,1429,1368,3613,3613,1622,1539,"2.488","0","0","0","24","0707",,
"240709",,"Rimouski","1","3",38708,20231,19158,36942,38478,19761,18399,"27.7942","1","0","0","24","0709",,"404"
"240712",,"Rivière-du-Loup","1","2",19081,9454,8993,17973,18321,9104,8505,"20.1742","1","0","0","24","0712",,"405"
"240715",,"Roberval","4","2",8056,3980,3762,8204,8360,3906,3719,"5.3584","1","0","0","24","0715",,
"240728",,"Rouyn-Noranda","1","2",23186,12414,11534,23504,23569,12274,11396,"22.1833","1","0","0","24","0728",,"485"
"240729",,"Roxton Falls","4","2",1042,521,498,1003,1046,505,487,"2.2778","1","0","0","24","0729",,
"240746",,"Senneterre","4","2",2212,1211,1134,2239,2239,1135,1078,"3.068","0","0","0","24","0746",,
"240748",,"Sept-Îles","1","2",21352,10818,9672,22218,22218,10613,9738,"13.2456","0","0","0","24","0748",,"412"
"240750",,"Shawinigan","1","3",38930,21798,20127,38211,38695,21437,19639,"31.7695","1","0","0","24","0750",,"444"
"240752",,"Shawville","4","2",1329,624,578,1203,1203,554,517,"1.8893","0","0","0","24","0752",,
"240758",,"Sherbrooke","1","4",151157,77092,72074,139565,140300,71870,65508,"102.6081","1","0","0","24","0758",,"433"
"240770",,"Sorel","1","3",36650,18639,17887,36088,36365,18269,17340,"30.6063","1","0","0","24","0770",,"454"
"240800",,"Saint-Agapit","4","2",3168,1399,1359,2906,2977,1297,1260,"2.2563","1","0","0","24","0800",,
"240801",,"Saint-Alexis-des-Monts","4","2",1503,868,787,1546,1546,852,766,"3.3683","0","0","0","24","0801",,
